_id,propertyAddress,propertyType,propertyWard,InspectionThread,,INSPECTIONS_OPENDATE,INSPECTIONS_CLOSEDDATE,VIOLATIONS_ITEM_NUMBER,Violation_Yes_No
3583750,52 Neilson Dr,Nursing Home,2,_6dbe8B3F8740021,,2021-04-13,2021-04-20,0,No
3583751,1257 St Clair Ave W,Low Rise,9,_6dbe8DD3E6F629F,,2021-04-23,2021-04-23,0,No
3583752,20 Shallmar Blvd,High Rise,8,_6dbe9F5F1E3136A,,2021-04-15,2021-04-15,0,No
3583753,170 Chalkfarm Dr,High Rise,7,_6dbea05C87C2BEB,,2021-04-12,2021-06-21,0,No
3583754,179 Finch Ave E,Low Rise,18,_6dbea624915F1CE,,2021-04-13,2021-04-13,0,No
3583755,1477 Wilson Ave,Low Rise,6,_6dbebA957E379A9,,2021-03-03,2021-06-02,1,Yes
3583756,1477 Wilson Ave,Low Rise,6,_6dbebA957E379A9,,2021-03-03,2021-06-02,2,Yes
3583757,1639 Bloor St W,Low Rise,4,_6dbec609F1DB876,,2021-04-12,2021-04-14,0,No
3583758,55 Maitland St,High Rise,13,_6dbfbB47B0BA525,,2021-04-13,2021-04-13,0,No
3583759,1850 Victoria Park Ave,High Rise,16,_6dbfcB5B243904F,,2021-04-13,2021-05-13,0,No
3583760,50 Underhill Dr,Low Rise,16,_6dbfcEE0D03DC51,,2021-04-14,2021-07-20,0,No
3583761,15 Tobermory Dr,High Rise,7,_6dbfcF12AE01834,,2021-04-14,2021-04-14,0,No
3583762,120 St Patrick St,High Rise,10,_6dbfd1CAF273CDE,,2021-07-21,2021-11-01,0,No
3583763,111 Bathurst St,High Rise,10,_6dbfd3FEA976D85,,2021-04-15,2021-06-17,0,No
3583764,135 Fenelon Dr,High Rise,16,_6dbfd5A947B96FE,,2021-04-14,2021-07-26,1,Yes
3583765,40 Fountainhead Rd,High Rise,7,_6dbfd7BCF7A5C6B,,2021-04-27,2021-05-10,0,No
3583766,111 Elizabeth St,High Rise,10,_6dbfdAC6C9A5E6E,,2021-04-13,2021-05-11,1,Yes
3583767,111 Elizabeth St,High Rise,10,_6dbfdAC6C9A5E6E,,2021-04-13,2021-05-11,2,Yes
3583768,111 Elizabeth St,High Rise,10,_6dbfdAC6C9A5E6E,,2021-04-13,2021-05-11,3,Yes
3583769,1100 King St W,High Rise,10,_6dbfdAD579EC3F4,,2021-11-24,,0,No
3583770,140 Bathurst St,High Rise,10,_6dbfdB33EDFFF59,,2021-08-31,2022-03-25,1,Yes
